task_key,strategy_profile,strategy_profile_version,query_family,query_kind,query_pass,platform,lane,career_lane,lane_label,allocation_percent,profile,priority,initial_order,career_priority,execution_rank,query,remote_required,age_days,sort_mode,enabled,resume_variant,search_url,phase,max_results
T101155CA63DAB54220,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,title_family,linkedin_title_family,linkedin,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,32001,"""healthcare project coordinator"" OR ""implementation coordinator""",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22healthcare+project+coordinator%22+OR+%22implementation+coordinator%22&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
T0B5D221EB26045C448,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,title_family,linkedin_title_family,linkedin,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,32002,healthcare program implementation operations specialist,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=healthcare+program+implementation+operations+specialist&location=United+States&sortBy=DD,A_FASTEST_DOOR_RECENT,
TCB306DABCA4F108530,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11001,"""provider enrollment specialist""",True,7,newest,True,enrollment_operations,https://www.indeed.com/jobs?q=%22provider+enrollment+specialist%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T419CC19435768AC701,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11002,"""credentialing coordinator""",True,7,newest,True,enrollment_operations,https://www.indeed.com/jobs?q=%22credentialing+coordinator%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T7AE03578FDC94A831E,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,compact_boolean,indeed_compact_boolean,indeed,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,12001,"""provider roster"" OR ""provider data""",True,7,newest,True,enrollment_operations,https://www.indeed.com/jobs?q=%22provider+roster%22+OR+%22provider+data%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T76964EB2E69666F015,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21001,"""healthcare quality specialist""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22healthcare+quality+specialist%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T067A820C44E25EF965,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21002,"""medical records specialist""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22medical+records+specialist%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
TFA3933553E7F304BFD,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,compact_boolean,indeed_compact_boolean,indeed,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,22001,"""health information"" OR ""documentation audit""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22health+information%22+OR+%22documentation+audit%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
TF6E0FD30BDEB881DA9,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31001,"""healthcare project coordinator""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22healthcare+project+coordinator%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
TDAB31528928F102110,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,exact_phrase,indeed_exact_phrase,indeed,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31002,"""implementation coordinator healthcare""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22implementation+coordinator+healthcare%22&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T5508C100F2095FFE89,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,compact_boolean,indeed_compact_boolean,indeed,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,32001,"""healthcare implementation"" OR ""project coordinator"" healthcare",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22healthcare+implementation%22+OR+%22project+coordinator%22+healthcare&l=Remote&fromage=7&sort=date,A_FASTEST_DOOR_RECENT,
T7CD4065B8AFB8AD992,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11001,provider enrollment specialist,True,7,newest,True,enrollment_operations,"https://www.glassdoor.com/Job/remote-provider-enrollment-specialist-jobs-SRCH_IL.0,6_IS11047_KO7,37.htm",A_FASTEST_DOOR_RECENT,
T9F6EACC86616736729,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11002,credentialing coordinator,True,7,newest,True,enrollment_operations,"https://www.glassdoor.com/Job/remote-credentialing-coordinator-jobs-SRCH_IL.0,6_IS11047_KO7,32.htm",A_FASTEST_DOOR_RECENT,
T569258940EA5B982B8,jobbot-broad-qualified-yield,2026-09-22.1,provider_lifecycle_credentialing_data,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,1,1,0,11003,provider data specialist,True,7,newest,True,enrollment_operations,"https://www.glassdoor.com/Job/remote-provider-data-specialist-jobs-SRCH_IL.0,6_IS11047_KO7,31.htm",A_FASTEST_DOOR_RECENT,
T7CF00158903694B93B,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21001,healthcare quality specialist,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-healthcare-quality-specialist-jobs-SRCH_IL.0,6_IS11047_KO7,36.htm",A_FASTEST_DOOR_RECENT,
TF13E2D030B3F467350,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21002,medical records coordinator,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-medical-records-coordinator-jobs-SRCH_IL.0,6_IS11047_KO7,34.htm",A_FASTEST_DOOR_RECENT,
T9BE2024D3A472DD90A,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_quality_data_documentation_compliance,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_QUALITY_DATA,HEALTHCARE_QUALITY_DATA,Healthcare quality / data / analytics,20,P1-healthcare-quality-data,2,2,1,21003,documentation quality specialist,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-documentation-quality-specialist-jobs-SRCH_IL.0,6_IS11047_KO7,39.htm",A_FASTEST_DOOR_RECENT,
T565890F85B201FE303,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31001,healthcare project coordinator,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-healthcare-project-coordinator-jobs-SRCH_IL.0,6_IS11047_KO7,37.htm",A_FASTEST_DOOR_RECENT,
T3156C0DBDBE0277BB0,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31002,healthcare implementation coordinator,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-healthcare-implementation-coordinator-jobs-SRCH_IL.0,6_IS11047_KO7,44.htm",A_FASTEST_DOOR_RECENT,
T6D178D423F12875A87,jobbot-broad-qualified-yield,2026-09-22.1,healthcare_project_implementation_program_support,narrow_title,glassdoor_narrow_title,glassdoor,HEALTHCARE_IMPLEMENTATION,HEALTHCARE_IMPLEMENTATION,Healthcare implementation / project / program,10,P1-healthcare-implementation-project,3,3,1,31003,healthcare program coordinator,True,7,newest,True,healthcare_data_quality,"https://www.glassdoor.com/Job/remote-healthcare-program-coordinator-jobs-SRCH_IL.0,6_IS11047_KO7,37.htm",A_FASTEST_DOOR_RECENT,
TD7BDA3CF7C002C2357,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,intent,linkedin_intent,linkedin,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,41001,higher education academic records transcript evaluation and registrar operations,True,7,newest,True,higher_ed_records,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=higher+education+academic+records+transcript+evaluation+and+registrar+operations&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T88A3E3E6DDC46A5FF5,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,intent,linkedin_intent,linkedin,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,41002,university back-office enrollment records application processing and learning operations,True,7,newest,True,higher_ed_records,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=university+back-office+enrollment+records+application+processing+and+learning+operations&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T537743D54A886FA156,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,title_family,linkedin_title_family,linkedin,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,42001,"""academic records"" OR registrar coordinator university",True,7,newest,True,higher_ed_records,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22academic+records%22+OR+registrar+coordinator+university&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T7E55BD28369A3DAB09,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,title_family,linkedin_title_family,linkedin,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,42002,"""transcript evaluator"" OR ""application processor"" higher education",True,7,newest,True,higher_ed_records,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22transcript+evaluator%22+OR+%22application+processor%22+higher+education&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T2C18D35023BAFEDF30,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,intent,linkedin_intent,linkedin,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,51001,records accuracy data validation and documentation operations,True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=records+accuracy+data+validation+and+documentation+operations&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
TA4D2995F002FE6C2D0,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,intent,linkedin_intent,linkedin,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,51002,"process operations focused on reconciliation, records integrity and data quality",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=process+operations+focused+on+reconciliation%2C+records+integrity+and+data+quality&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T43E0D11DB833E30DE2,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,title_family,linkedin_title_family,linkedin,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,52001,"""data integrity specialist"" OR ""data validation specialist""",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22data+integrity+specialist%22+OR+%22data+validation+specialist%22&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T71D92C42DD3E83E233,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,title_family,linkedin_title_family,linkedin,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,52002,"""records operations"" documentation quality coordinator",True,7,newest,True,healthcare_data_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22records+operations%22+documentation+quality+coordinator&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
TDB9D8FB7964F585B38,jobbot-broad-qualified-yield,2026-09-22.1,backoffice_patient_access_eligibility_enrollment,intent,linkedin_intent,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,6,6,0,61001,patient access eligibility and enrollment processing documentation operations,True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=patient+access+eligibility+and+enrollment+processing+documentation+operations&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T22FEC9660FCA287F3E,jobbot-broad-qualified-yield,2026-09-22.1,backoffice_patient_access_eligibility_enrollment,intent,linkedin_intent,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,6,6,0,61002,healthcare benefits verification patient registration and enrollment workflow support,True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=healthcare+benefits+verification+patient+registration+and+enrollment+workflow+support&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T6319C05C70A1DFB6EB,jobbot-broad-qualified-yield,2026-09-22.1,backoffice_patient_access_eligibility_enrollment,title_family,linkedin_title_family,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,6,6,0,62001,"""patient access specialist"" OR ""eligibility specialist"" healthcare",True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22patient+access+specialist%22+OR+%22eligibility+specialist%22+healthcare&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T80D8FB7421A3D6EFFE,jobbot-broad-qualified-yield,2026-09-22.1,backoffice_patient_access_eligibility_enrollment,title_family,linkedin_title_family,linkedin,HEALTHCARE_OPS_ACCESS,HEALTHCARE_OPS_ACCESS,Healthcare operations / access,35,P0-healthcare-operations-access,6,6,0,62002,"""patient enrollment coordinator"" registration verification",True,7,newest,True,enrollment_operations,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22patient+enrollment+coordinator%22+registration+verification&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T066DA14FB20031EACF,jobbot-broad-qualified-yield,2026-09-22.1,bilingual_ai_content_quality,intent,linkedin_intent,linkedin,CONTENT_AI_QUALITY,CONTENT_AI_QUALITY,Content / bilingual / AI quality opportunistic,5,P3-content-ai-quality,7,7,3,71001,bilingual English Spanish content quality review and language evaluation,True,7,newest,True,content_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=bilingual+English+Spanish+content+quality+review+and+language+evaluation&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T1D67A0D9E5DEF0AE7B,jobbot-broad-qualified-yield,2026-09-22.1,bilingual_ai_content_quality,intent,linkedin_intent,linkedin,CONTENT_AI_QUALITY,CONTENT_AI_QUALITY,Content / bilingual / AI quality opportunistic,5,P3-content-ai-quality,7,7,3,71002,Spanish language AI evaluator rubric-based content quality review,True,7,newest,True,content_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=Spanish+language+AI+evaluator+rubric-based+content+quality+review&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
T09A6026EFDE297B9FF,jobbot-broad-qualified-yield,2026-09-22.1,bilingual_ai_content_quality,title_family,linkedin_title_family,linkedin,CONTENT_AI_QUALITY,CONTENT_AI_QUALITY,Content / bilingual / AI quality opportunistic,5,P3-content-ai-quality,7,7,3,72001,"""Spanish content reviewer"" OR ""Spanish language reviewer""",True,7,newest,True,content_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22Spanish+content+reviewer%22+OR+%22Spanish+language+reviewer%22&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
TFCBB7E518E282B7E53,jobbot-broad-qualified-yield,2026-09-22.1,bilingual_ai_content_quality,title_family,linkedin_title_family,linkedin,CONTENT_AI_QUALITY,CONTENT_AI_QUALITY,Content / bilingual / AI quality opportunistic,5,P3-content-ai-quality,7,7,3,72002,"""AI evaluator"" bilingual content quality analyst",True,7,newest,True,content_quality,https://www.linkedin.com/jobs/search/?f_TPR=r604800&f_WT=2&keywords=%22AI+evaluator%22+bilingual+content+quality+analyst&location=United+States&sortBy=DD,B_REMAINING_CORE_RECENT,
TDC1F00847A17F488F8,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,exact_phrase,indeed_exact_phrase,indeed,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,41001,"""academic records specialist""",True,7,newest,True,higher_ed_records,https://www.indeed.com/jobs?q=%22academic+records+specialist%22&l=Remote&fromage=7&sort=date,B_REMAINING_CORE_RECENT,
T3D7589E502DCE3494D,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,exact_phrase,indeed_exact_phrase,indeed,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,41002,"""registrar coordinator""",True,7,newest,True,higher_ed_records,https://www.indeed.com/jobs?q=%22registrar+coordinator%22&l=Remote&fromage=7&sort=date,B_REMAINING_CORE_RECENT,
TBDFAFE0CC36D3691D1,jobbot-broad-qualified-yield,2026-09-22.1,higher_ed_academic_back_office,compact_boolean,indeed_compact_boolean,indeed,HIGHER_ED_EDTECH,HIGHER_ED_EDTECH,Higher education / EdTech operations hedge,15,P2-higher-ed-edtech,4,4,2,42001,"""academic records"" OR registrar university",True,7,newest,True,higher_ed_records,https://www.indeed.com/jobs?q=%22academic+records%22+OR+registrar+university&l=Remote&fromage=7&sort=date,B_REMAINING_CORE_RECENT,
T59D39C91E491AE84FA,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,exact_phrase,indeed_exact_phrase,indeed,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,51001,"""data integrity specialist""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22data+integrity+specialist%22&l=Remote&fromage=7&sort=date,B_REMAINING_CORE_RECENT,
T71EE58BD742319A4BE,jobbot-broad-qualified-yield,2026-09-22.1,bounded_transferable_records_data_process_ops,exact_phrase,indeed_exact_phrase,indeed,FALLBACK_TRANSFERABLE,FALLBACK_TRANSFERABLE,Fallback transferable data / operations,0,P1-transferable-data-ops,5,5,4,51002,"""data validation specialist""",True,7,newest,True,healthcare_data_quality,https://www.indeed.com/jobs?q=%22data+validation+specialist%22&l=Remote&fromage=7&sort=date,B_REMAINING_CORE_RECENT,
